connection_id,changelog_id,field,field_type,field_id,from_value,from_string,to_value,to_string,_raw_data_params,_raw_data_table,_raw_data_id,_raw_data_remark
2,61577,RemoteIssueLink,freshrelease,,18985,"这个事务链接到 ""Commit - feat(SprintWorkloadPage): update TeamMembersWorkload (网页链接)""",18985,"这个事务链接到 ""Commit - feat(SprintWorkloadPage): update TeamMembersWorkload (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204516,
2,61578,RemoteIssueLink,freshrelease,,18954,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""",18954,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204692,
2,61793,RemoteIssueLink,freshrelease,,,,19021,"这个事务链接到 ""Commit - feat(SprintWorkloadPage): update TeamMembersWorkload (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204517,
2,61799,RemoteIssueLink,freshrelease,,,,19027,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204693,
2,61895,RemoteIssueLink,freshrelease,,19021,"这个事务链接到 ""Commit - feat(SprintWorkloadPage): update TeamMembersWorkload (网页链接)""",19021,"这个事务链接到 ""Commit - feat(SprintWorkloadPage): update TeamMembersWorkload (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204518,
2,61920,RemoteIssueLink,freshrelease,,19027,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""",19027,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204694,
2,61983,RemoteIssueLink,freshrelease,,,,19110,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204695,
2,61998,RemoteIssueLink,freshrelease,,,,19125,"这个事务链接到 ""Commit - feat(SprintWorkloadPage): update TeamMembersWorkload (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204519,
2,62016,RemoteIssueLink,freshrelease,,,,19143,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204696,
2,62020,RemoteIssueLink,freshrelease,,,,19147,"这个事务链接到 ""Commit - feat(SprintWorkloadPage): update TeamMembersWorkload (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204520,
2,62110,RemoteIssueLink,freshrelease,,19147,"这个事务链接到 ""Commit - feat(SprintWorkloadPage): update TeamMembersWorkload (网页链接)""",19147,"这个事务链接到 ""Commit - feat(SprintWorkloadPage): update TeamMembersWorkload (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204521,
2,62129,RemoteIssueLink,freshrelease,,19143,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""",19143,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204697,
2,62148,RemoteIssueLink,freshrelease,,,,19213,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204698,
2,62196,RemoteIssueLink,freshrelease,,,,19260,"这个事务链接到 ""Commit - feat(SprintWorkloadPage): update TeamMembersWorkload (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204522,
2,62205,RemoteIssueLink,freshrelease,,19213,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""",19213,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204699,
2,62231,RemoteIssueLink,freshrelease,,19260,"这个事务链接到 ""Commit - feat(SprintWorkloadPage): update TeamMembersWorkload (网页链接)""",19260,"这个事务链接到 ""Commit - feat(SprintWorkloadPage): update TeamMembersWorkload (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204523,
2,62315,RemoteIssueLink,freshrelease,,,,19307,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204700,
2,62329,RemoteIssueLink,freshrelease,,,,19321,"这个事务链接到 ""Commit - feat(SprintWorkloadPage): update TeamMembersWorkload (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204524,
2,62343,RemoteIssueLink,freshrelease,,,,19328,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204701,
2,62371,RemoteIssueLink,freshrelease,,,,19357,"这个事务链接到 ""Commit - feat(SprintWorkloadPage): update TeamMembersWorkload (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204525,
2,62446,RemoteIssueLink,freshrelease,,19357,"这个事务链接到 ""Commit - feat(SprintWorkloadPage): update TeamMembersWorkload (网页链接)""",19357,"这个事务链接到 ""Commit - feat(SprintWorkloadPage): update TeamMembersWorkload (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204526,
2,62451,RemoteIssueLink,freshrelease,,19328,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""",19328,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204702,
2,62498,RemoteIssueLink,freshrelease,,19357,"这个事务链接到 ""Commit - feat(SprintWorkloadPage): update TeamMembersWorkload (网页链接)""",19357,"这个事务链接到 ""Commit - feat(SprintWorkloadPage): update TeamMembersWorkload (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204527,
2,62508,RemoteIssueLink,freshrelease,,19328,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""",19328,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204703,
2,62546,RemoteIssueLink,freshrelease,,,,19396,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204704,
