id,issue_id,author_id,author_name,field_id,field_name,original_from_value,original_to_value,from_value,to_value,created_date,_raw_data_params,_raw_data_table,_raw_data_id,_raw_data_remark
freshrelease:FreshreleaseIssueChangelogItems:2:10739:assignee,freshrelease:FreshreleaseIssue:2:10093,freshrelease:FreshreleaseAccount:2:5e9711ba34f7b90c0fbc37d3,Rankin Zheng,,assignee,,freshrelease:FreshreleaseAccount:2:5ecfbd0ba04d9c0c220c18d8,,,2020-06-12T00:49:33.290+00:00,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12464,
freshrelease:FreshreleaseIssueChangelogItems:2:10740:assignee,freshrelease:FreshreleaseIssue:2:10094,freshrelease:FreshreleaseAccount:2:5e9711ba34f7b90c0fbc37d3,Rankin Zheng,,assignee,,freshrelease:FreshreleaseAccount:2:5ecfbd0c730ec90c1999cadf,,,2020-06-12T00:49:43.648+00:00,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12465,
freshrelease:FreshreleaseIssueChangelogItems:2:10741:status,freshrelease:FreshreleaseIssue:2:10091,freshrelease:FreshreleaseAccount:2:5e9711ba34f7b90c0fbc37d3,Rankin Zheng,,status,待办,Resolved,TODO,DONE,2020-06-12T00:49:49.290+00:00,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12462,
freshrelease:FreshreleaseIssueChangelogItems:2:10742:status,freshrelease:FreshreleaseIssue:2:10092,freshrelease:FreshreleaseAccount:2:5e9711ba34f7b90c0fbc37d3,Rankin Zheng,,status,待办,Resolved,TODO,DONE,2020-06-12T00:49:51.061+00:00,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12463,
freshrelease:FreshreleaseIssueChangelogItems:2:10743:status,freshrelease:FreshreleaseIssue:2:10093,freshrelease:FreshreleaseAccount:2:5e9711ba34f7b90c0fbc37d3,Rankin Zheng,,status,待办,In Progress,TODO,IN_PROGRESS,2020-06-12T00:49:52.764+00:00,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12464,
freshrelease:FreshreleaseIssueChangelogItems:2:10744:timeestimate,freshrelease:FreshreleaseIssue:2:10094,freshrelease:FreshreleaseAccount:2:5e9711ba34f7b90c0fbc37d3,Rankin Zheng,,timeestimate,,21600,,,2020-06-12T00:49:59.933+00:00,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12465,
freshrelease:FreshreleaseIssueChangelogItems:2:10744:timeoriginalestimate,freshrelease:FreshreleaseIssue:2:10094,freshrelease:FreshreleaseAccount:2:5e9711ba34f7b90c0fbc37d3,Rankin Zheng,,timeoriginalestimate,,21600,,,2020-06-12T00:49:59.933+00:00,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12465,
freshrelease:FreshreleaseIssueChangelogItems:2:10745:timeestimate,freshrelease:FreshreleaseIssue:2:10093,freshrelease:FreshreleaseAccount:2:5e9711ba34f7b90c0fbc37d3,Rankin Zheng,,timeestimate,,7200,,,2020-06-12T00:50:08.432+00:00,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12464,
freshrelease:FreshreleaseIssueChangelogItems:2:10745:timeoriginalestimate,freshrelease:FreshreleaseIssue:2:10093,freshrelease:FreshreleaseAccount:2:5e9711ba34f7b90c0fbc37d3,Rankin Zheng,,timeoriginalestimate,,7200,,,2020-06-12T00:50:08.432+00:00,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12464,
freshrelease:FreshreleaseIssueChangelogItems:2:10746:timeestimate,freshrelease:FreshreleaseIssue:2:10091,freshrelease:FreshreleaseAccount:2:5e9711ba34f7b90c0fbc37d3,Rankin Zheng,,timeestimate,,21600,,,2020-06-12T00:50:16.324+00:00,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12462,
freshrelease:FreshreleaseIssueChangelogItems:2:10746:timeoriginalestimate,freshrelease:FreshreleaseIssue:2:10091,freshrelease:FreshreleaseAccount:2:5e9711ba34f7b90c0fbc37d3,Rankin Zheng,,timeoriginalestimate,,21600,,,2020-06-12T00:50:16.324+00:00,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12462,
freshrelease:FreshreleaseIssueChangelogItems:2:10748:Parent,freshrelease:FreshreleaseIssue:2:10095,freshrelease:FreshreleaseAccount:2:5e9711ba34f7b90c0fbc37d3,Rankin Zheng,,Parent,,EE-1,,,2020-06-12T00:50:45.782+00:00,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12466,
freshrelease:FreshreleaseIssueChangelogItems:2:10749:assignee,freshrelease:FreshreleaseIssue:2:10095,freshrelease:FreshreleaseAccount:2:5e9711ba34f7b90c0fbc37d3,Rankin Zheng,,assignee,,freshrelease:FreshreleaseAccount:2:5ecfbd0984083c0c12e5af8f,,,2020-06-12T00:50:50.640+00:00,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12466,
freshrelease:FreshreleaseIssueChangelogItems:2:10751:Parent,freshrelease:FreshreleaseIssue:2:10096,freshrelease:FreshreleaseAccount:2:5e9711ba34f7b90c0fbc37d3,Rankin Zheng,,Parent,,EE-3,,,2020-06-12T00:51:58.007+00:00,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12467,
freshrelease:FreshreleaseIssueChangelogItems:2:10753:Parent,freshrelease:FreshreleaseIssue:2:10097,freshrelease:FreshreleaseAccount:2:5e9711ba34f7b90c0fbc37d3,Rankin Zheng,,Parent,,EE-3,,,2020-06-12T00:52:04.979+00:00,"{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issues,12468,
